   1.6560000e+03   2.7559176e+00   1.8250846e+00
   1.6570000e+03   2.7555625e+00   1.8239339e+00
   1.6580000e+03   2.7544129e+00   1.8238924e+00
   1.6590000e+03   2.7520003e+00   1.8239029e+00
   1.6600000e+03   2.7487247e+00   1.8238523e+00
   1.6610000e+03   2.7457219e+00   1.8242058e+00
   1.6620000e+03   2.7424012e+00   1.8233936e+00
   1.6630000e+03   2.7391257e+00   1.8213565e+00
   1.6640000e+03   2.7356395e+00   1.8179821e+00
   1.6650000e+03   2.7328790e+00   1.8144417e+00
   1.6660000e+03   2.7310716e+00   1.8113249e+00
   1.6670000e+03   2.7300583e+00   1.8108785e+00
   1.6680000e+03   2.7270421e+00   1.8128381e+00
   1.6690000e+03   2.7264478e+00   1.8139655e+00
   1.6700000e+03   2.7264276e+00   1.8143477e+00
   1.6710000e+03   2.7270638e+00   1.8136056e+00
   1.6720000e+03   2.7276867e+00   1.8123385e+00
   1.6730000e+03   2.7289628e+00   1.8097321e+00
   1.6740000e+03   2.7294791e+00   1.8087442e+00
   1.6750000e+03   2.7283023e+00   1.8090406e+00
   1.6760000e+03   2.7270728e+00   1.8092648e+00
   1.6770000e+03   2.7274072e+00   1.8084747e+00
   1.6780000e+03   2.7280543e+00   1.8060410e+00
   1.6790000e+03   2.7289897e+00   1.8013634e+00
   1.6800000e+03   2.7307869e+00   1.7955922e+00
   1.6810000e+03   2.7315263e+00   1.7905704e+00
   1.6820000e+03   2.7304727e+00   1.7878709e+00
   1.6830000e+03   2.7280179e+00   1.7861926e+00
   1.6840000e+03   2.7245202e+00   1.7841529e+00
   1.6850000e+03   2.7211001e+00   1.7806047e+00
   1.6860000e+03   2.7181015e+00   1.7763374e+00
   1.6870000e+03   2.7160586e+00   1.7702864e+00
   1.6880000e+03   2.7153610e+00   1.7623028e+00
   1.6890000e+03   2.7158089e+00   1.7541786e+00
   1.6900000e+03   2.7147133e+00   1.7436493e+00
   1.6910000e+03   2.7132939e+00   1.7337708e+00
   1.6920000e+03   2.7113093e+00   1.7247445e+00
   1.6930000e+03   2.7082186e+00   1.7154058e+00
   1.6940000e+03   2.7044956e+00   1.7076300e+00
   1.6950000e+03   2.7013222e+00   1.7018878e+00
   1.6960000e+03   2.6977995e+00   1.6979244e+00
   1.6970000e+03   2.6947671e+00   1.6943217e+00
   1.6980000e+03   2.6919963e+00   1.6917548e+00
   1.6990000e+03   2.6912168e+00   1.6909052e+00
   1.7000000e+03   2.6907751e+00   1.6907873e+00
   1.7010000e+03   2.6908101e+00   1.6909944e+00
   1.7020000e+03   2.6918715e+00   1.6925971e+00
   1.7030000e+03   2.6936234e+00   1.6946321e+00
   1.7040000e+03   2.6955792e+00   1.6976169e+00
   1.7050000e+03   2.6973580e+00   1.7013152e+00
   1.7060000e+03   2.6987108e+00   1.7064070e+00
   1.7070000e+03   2.6993542e+00   1.7115620e+00
   1.7080000e+03   2.6986307e+00   1.7165792e+00
   1.7090000e+03   2.6982826e+00   1.7212403e+00
