   4.1300000e+02  -2.9059250e+00   2.7219508e+00
   4.1400000e+02  -2.9049922e+00   2.7095189e+00
   4.1500000e+02  -2.9058851e+00   2.6952681e+00
   4.1600000e+02  -2.9073024e+00   2.6778312e+00
   4.1700000e+02  -2.9080828e+00   2.6574252e+00
   4.1800000e+02  -2.9073576e+00   2.6367210e+00
   4.1900000e+02  -2.9041893e+00   2.6198463e+00
   4.2000000e+02  -2.8995603e+00   2.6059750e+00
   4.2100000e+02  -2.8937079e+00   2.5948105e+00
   4.2200000e+02  -2.8843360e+00   2.5859182e+00
   4.2300000e+02  -2.8711633e+00   2.5770988e+00
   4.2400000e+02  -2.8540481e+00   2.5669301e+00
   4.2500000e+02  -2.8334803e+00   2.5559657e+00
   4.2600000e+02  -2.8096294e+00   2.5442754e+00
   4.2700000e+02  -2.7809229e+00   2.5314247e+00
   4.2800000e+02  -2.7486666e+00   2.5177825e+00
   4.2900000e+02  -2.7127846e+00   2.5044415e+00
   4.3000000e+02  -2.6733063e+00   2.4922192e+00
   4.3100000e+02  -2.6309069e+00   2.4828269e+00
   4.3200000e+02  -2.5882667e+00   2.4741046e+00
   4.3300000e+02  -2.5450098e+00   2.4672246e+00
   4.3400000e+02  -2.5094900e+00   2.4614071e+00
   4.3500000e+02  -2.4755335e+00   2.4550363e+00
   4.3600000e+02  -2.4472218e+00   2.4498427e+00
   4.3700000e+02  -2.4226298e+00   2.4445572e+00
   4.3800000e+02  -2.4031690e+00   2.4389851e+00
   4.3900000e+02  -2.3877274e+00   2.4326559e+00
   4.4000000e+02  -2.3754007e+00   2.4277995e+00
   4.4100000e+02  -2.3656727e+00   2.4230690e+00
   4.4200000e+02  -2.3567366e+00   2.4195801e+00
   4.4300000e+02  -2.3493247e+00   2.4155276e+00
   4.4400000e+02  -2.3436875e+00   2.4089336e+00
   4.4500000e+02  -2.3431703e+00   2.3977061e+00
   4.4600000e+02  -2.3443634e+00   2.3803028e+00
   4.4700000e+02  -2.3484948e+00   2.3586020e+00
   4.4800000e+02  -2.3528885e+00   2.3340447e+00
   4.4900000e+02  -2.3554845e+00   2.3112303e+00
   4.5000000e+02  -2.3550809e+00   2.2916490e+00
   4.5100000e+02  -2.3516890e+00   2.2772280e+00
   4.5200000e+02  -2.3436642e+00   2.2676276e+00
   4.5300000e+02  -2.3326299e+00   2.2623286e+00
   4.5400000e+02  -2.3211271e+00   2.2609449e+00
   4.5500000e+02  -2.3130280e+00   2.2629079e+00
