1143.0,1148.0,1153.0,1158.0,1163.0,1168.0,1173.0,1178.0,1183.0,1188.0,1193.0,1198.0,1203.0,1208.0,1213.0,1218.0,1223.0,1228.0,1233.0,1238.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,2,2,1,1
1,1,2,1,0,0,1,0,1,1,2,2,2,1,2,2,2,2,2,1
1,0,1,2,1,1,2,1,3,1,4,4,3,4,6,3,2,2,3,3
0,1,3,2,4,2,1,1,2,2,3,4,5,4,6,1,1,2,4,2
0,1,3,0,2,4,3,4,4,2,3,4,5,4,5,4,0,0,2,3
1,1,1,1,2,4,5,4,4,2,5,3,5,4,5,4,2,0,2,3
3,3,3,3,4,5,6,4,4,4,4,5,5,4,6,6,2,1,2,3
3,5,3,3,5,5,4,3,2,4,5,4,5,4,6,6,3,1,1,4
5,5,4,3,5,5,4,3,3,4,5,4,4,4,4,4,3,1,1,4
5,4,4,2,4,5,3,1,2,3,4,4,4,2,2,2,3,2,1,3
4,5,3,3,4,2,2,1,1,3,4,4,4,2,1,1,3,3,1,2
5,4,3,3,2,1,1,1,1,2,4,4,3,2,1,1,3,4,1,2
5,3,4,2,2,1,1,1,1,1,4,3,2,2,1,1,1,2,2,1
2,2,1,1,3,1,2,1,1,1,1,2,2,2,1,1,1,2,2,3
2,2,1,1,2,1,1,0,0,0,1,0,1,1,1,1,1,2,2,3
1,3,1,1,2,1,1,0,0,0,0,0,1,0,1,1,1,1,1,2
2,1,1,1,0,1,1,1,0,0,0,1,1,1,1,2,1,2,2,1
2,1,2,1,0,1,2,2,1,0,0,1,1,1,1,1,1,2,1,1
1,1,1,1,0,1,2,2,0,0,0,0,0,1,1,1,1,2,1,1
0,1,1,0,0,1,2,2,0,0,0,0,0,1,1,1,1,0,0,1
0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
